#accession	taxid
KP869100	1508671
KP869101	1508678
KP869103	1508680
KP869104	1508681
KP869109	1508673
KP869110	1508674
KR052480	1647403
KR052481	1647404
KR054028	1640975
KR080196	1647303
KR091942	1647402
KR560069	1654717
KR698074	1655314
KR869157	1675014
KR902361	1673884
KR908644	1673874
KT001917	1675606
KT001919	1675608
KT151958	1691957
KT160311	1673892
KT254130	1737467
KT254131	1737466
KT254132	1737465
KT254133	1737464
KT321315	1682394
KT321476	1698253
KT363872	1701846
KT365398	1701800
KT365400	1701802
KT365401	1701798
KT372690	1701859
KT372691	1701860
KT372692	1701861
KT372693	1701862
KT372694	1701863
KT372695	1701864
KT372696	1701865
KT372697	1701866
KT372698	1701867
KT624200	1792032
KT630647	1647468
KT919972	1747713
KT919973	1747714
KT995480	1932131
KU160644	1772326
KU160651	1772327
KU160656	1772307
KU160660	1772328
KU160665	1772315
KU160668	1772318
KU522583	1784948
KU577463	1792245
KU594605	687803
KU594606	1278479
KU594607	1278485
KU647629	1796994
KU761955	1815957
LC102730	1752028
LC105987	1772250
LC105988	1772251
LC105989	1772252
LC105990	1772253
LK985321	1522091
LN610572	1548900
LN610575	1548903
LN610576	1548904
LN610581	1548909
LN610582	1548910
LN610583	1548911
LN610586	1548914
LN610587	1548915
LN610588	1548916
LN881728	1720496
LN881729	1720497
LN881733	1720501
LN881734	1720502
LN881735	1720503
LN881737	1720505
NC_000866	10665
NC_000929	10677
NC_001317	29252
NC_001609	10680
NC_001697	10690
NC_001895	10679
NC_003278	35343
NC_003313	70734
NC_003315	157239
NC_003356	103807
NC_003444	55884
NC_004084	114777
NC_004333	209052
NC_004456	207597
NC_004629	169683
NC_004687	205877
NC_004735	148943
NC_004745	227940
NC_004827	230158
NC_007022	321023
NC_007023	115991
NC_007066	292029
NC_007581	12336
NC_007623	273133
NC_007710	331627
NC_007810	347329
NC_007917	320122
NC_007924	363555
NC_008193	342564
NC_008201	390978
NC_008207	373404
NC_008208	233894
NC_008296	382359
NC_008515	45406
NC_008562	340435
NC_008584	407392
NC_009015	417280
NC_009016	261726
NC_009231	262071
NC_009234	431893
NC_009236	431892
NC_009237	431894
NC_009382	406340
NC_009542	393598
NC_009604	446807
NC_009760	458639
NC_009811	40523
NC_009821	448384
NC_009904	442493
NC_010105	293178
NC_010106	451705
NC_010342	499235
NC_010463	194701
NC_010811	1980924
NC_010821	198110
NC_011041	399183
NC_011142	551895
NC_011165	549445
NC_011166	549446
NC_011216	557289
NC_011269	546807
NC_011270	546808
NC_011271	546803
NC_011272	546806
NC_011273	546805
NC_011398	559189
NC_011421	10685
NC_011703	581037
NC_011756	582382
NC_011810	538398
NC_011811	557393
NC_012530	632112
NC_012635	10693
NC_012638	197310
NC_012740	576789
NC_012741	576790
NC_012749	576791
NC_013085	555387
NC_013594	665033
NC_013650	663554
NC_013693	637730
NC_013697	665032
NC_014036	707757
NC_014260	697227
NC_014467	329381
NC_014595	645664
NC_014635	879628
NC_014636	879630
NC_014660	762660
NC_014661	760732
NC_014662	709484
NC_014663	760939
NC_014792	700939
NC_015157	979525
NC_015250	279006
NC_015251	260149
NC_015253	857312
NC_015265	910473
NC_015266	910474
NC_015272	582345
NC_015273	910475
NC_015279	444860
NC_015280	445700
NC_015281	445683
NC_015282	444859
NC_015283	444862
NC_015284	445696
NC_015286	445684
NC_015287	445686
NC_015289	445685
NC_015290	445688
NC_015292	925986
NC_015294	743813
NC_015295	925984
NC_015296	867696
NC_015457	1002725
NC_015464	934027
NC_015569	1026955
NC_015721	1035662
NC_015937	699370
NC_016071	889338
NC_016073	1080800
NC_016163	331278
NC_016562	1110702
NC_016563	764595
NC_016570	1077152
NC_016571	1124849
NC_017674	749447
NC_017972	1161927
NC_017974	1162295
NC_017975	1173297
NC_017981	1129194
NC_017984	1187128
NC_018087	1049283
NC_018855	1237364
NC_018856	57477
NC_018857	1136731
NC_018860	1126950
NC_018861	1229752
NC_018863	1141133
NC_019398	1141138
NC_019399	1141141
NC_019400	1141135
NC_019401	1141136
NC_019421	1204534
NC_019422	1204535
NC_019443	1079999
NC_019444	1079998
NC_019448	760530
NC_019450	757342
NC_019451	1158680
NC_019452	926589
NC_019455	483266
NC_019457	10689
NC_019487	941058
NC_019488	929814
NC_019500	1052121
NC_019503	1054834
NC_019504	1051676
NC_019505	1054480
NC_019507	1190451
NC_019515	1136534
NC_019516	1137745
NC_019517	1131317
NC_019518	1127518
NC_019519	1161931
NC_019521	1150991
NC_019522	1127516
NC_019525	1127515
NC_019526	1147094
NC_019527	1127514
NC_019530	1108865
NC_019538	1204516
NC_019543	1198013
NC_019722	1229754
NC_019726	1239383
NC_019782	1206110
NC_019909	1206558
NC_019910	1204528
NC_019913	685892
NC_019918	1231048
NC_019925	1091052
NC_019927	984186
NC_019932	947843
NC_019935	763998
NC_020079	1229753
NC_020080	1129147
NC_020081	1204533
NC_020082	1264700
NC_020083	1262513
NC_020201	1116482
NC_020204	1236000
NC_020416	1087482
NC_020484	1283076
NC_020486	869724
NC_020837	754037
NC_020841	754048
NC_020843	754075
NC_020845	889956
NC_020847	889955
NC_020855	929832
NC_020859	869662
NC_020860	756280
NC_020871	1168744
NC_020873	1195072
NC_020875	536466
NC_020877	1235660
NC_020879	1198014
NC_021071	536444
NC_021342	1325372
NC_021343	1282994
NC_021344	1307804
NC_021346	1327936
NC_021347	1007869
NC_021348	1327938
NC_021349	1327762
NC_021529	115992
NC_021530	754038
NC_021531	1195085
NC_021536	754039
NC_021557	929834
NC_021559	536453
NC_021560	929833
NC_021774	1173769
NC_021781	1173766
NC_021857	66284
NC_022088	1382932
NC_022090	1235659
NC_022096	1335230
NC_022323	1327956
NC_022343	1206545
NC_022747	1341101
NC_022749	1407493
NC_022750	1357825
NC_022761	1406783
NC_022763	1406791
NC_022768	1406795
NC_022769	1406781
NC_022772	1406794
NC_022918	1041527
NC_022920	1041526
NC_022966	1327964
NC_022967	1348912
NC_022968	1391428
NC_022970	981431
NC_022974	1327965
NC_022980	1296662
NC_022986	1327966
NC_023006	1279082
NC_023009	1007127
NC_023501	1277886
NC_023555	1391659
NC_023557	1429768
NC_023561	1455074
NC_023568	1262539
NC_023573	1450142
NC_023584	1340812
NC_023587	1340810
NC_023588	1168563
NC_023594	1445859
NC_023601	1458843
NC_023688	926067
NC_023693	948870
NC_023696	1074305
NC_023714	1074307
NC_023717	1162290
NC_023719	1084719
NC_023725	1088866
NC_023733	1088865
NC_023737	1079895
NC_023856	1458849
NC_023865	1399915
NC_024121	1481112
NC_024122	1446492
NC_024124	1430444
NC_024125	1495285
NC_024134	1446490
NC_024137	584892
NC_024144	1411095
NC_024205	1486660
NC_024206	1416334
NC_024207	1486658
NC_024211	1486661
NC_024213	1486659
NC_024216	1486657
NC_024354	1327934
NC_024359	1173764
NC_024360	1486421
NC_024364	1486422
NC_024369	1500713
NC_024383	1458855
NC_024785	1505225
NC_024787	1486413
NC_024788	1486662
NC_024792	1527469
NC_024794	1391224
NC_025115	1530085
NC_025414	1527524
NC_025416	1524910
NC_025417	1262512
NC_025419	31533
NC_025422	1357714
NC_025423	1391188
NC_025425	1222338
NC_025426	1526408
NC_025427	1498228
NC_025429	1527770
NC_025430	1541883
NC_025436	1458859
NC_025437	1541825
NC_025440	1541821
NC_025441	1204521
NC_025446	1204523
NC_025447	1555202
NC_025448	69609
NC_025449	1204522
NC_025452	1477406
NC_025458	1458861
NC_025459	1505227
NC_025462	1481186
NC_025463	1458862
NC_025466	1458863
NC_025470	1458860
NC_025829	1551641
NC_025830	1527519
NC_026014	1567486
NC_026586	1548907
NC_026587	1548901
NC_026600	1548917
NC_026606	1566993
NC_026607	1445860
NC_026611	1537091
NC_026923	1493509
NC_026924	1493512
NC_026926	1493514
NC_026927	1493511
NC_026928	1493510
NC_027119	454798
NC_027125	908819
NC_027130	1493508
NC_027132	1493513
NC_027204	1357423
NC_027293	1540094
NC_027296	1220714
NC_027329	1567025
NC_027331	1540095
NC_027332	1560342
NC_027335	1498168
NC_027337	1555238
NC_027339	1225789
NC_027340	1564096
NC_027344	1204531
NC_027349	1434323
NC_027351	1204529
NC_027352	1498212
NC_027353	1206560
NC_027355	1129192
NC_027360	1197935
NC_027364	1273738
NC_027366	1540090
NC_027368	1451050
NC_027369	1229757
NC_027374	1540091
NC_027382	1567022
NC_027399	1439894
NC_027402	1090134
NC_027404	1351740
NC_027979	36339
NC_027981	631719
NC_027983	66711
NC_027990	755164
NC_027991	694060
NC_027995	669875
NC_027996	722418
NC_027997	722417
NC_028247	1675603
NC_028248	1720495
NC_028448	1720504
NC_028652	1735586
NC_028659	1719140
NC_028663	1589733
NC_028672	1684115
NC_028676	1636182
NC_028683	1608310
NC_028686	1698360
NC_028701	1647466
NC_028745	1640970
NC_028750	1675607
NC_028755	1701810
NC_028762	1636250
NC_028764	1582154
NC_028765	1572703
NC_028766	1572750
NC_028780	1720500
NC_028808	1718606
NC_028817	1716041
NC_028820	1589265
NC_028825	1636202
NC_028838	1582155
NC_028847	1673871
NC_028855	1628720
NC_028857	1675602
NC_028869	1698710
NC_028872	1527531
NC_028881	1567026
NC_028882	1542092
NC_028883	1582156
NC_028887	1698451
NC_028890	1690456
NC_028894	1567027
NC_028896	1649239
NC_028898	1572744
NC_028899	1689679
NC_028925	1567028
NC_028927	1720494
NC_028935	1718669
NC_028939	1542090
NC_028940	1429794
NC_028943	1649240
NC_028944	1690431
NC_028945	1647405
NC_028951	1582153
NC_028955	1542477
NC_028957	1567029
NC_028959	1582157
NC_028962	1572704
NC_028969	1691955
NC_028971	1640974
NC_028982	1296655
NC_028983	1296656
NC_028986	1034128
NC_028995	1229760
NC_028996	1522092
NC_028999	998086
NC_029000	1211280
NC_029001	1445553
NC_029002	1357715
NC_029003	1647455
NC_029009	1597976
NC_029013	1673887
NC_029015	1647465
NC_029023	1340750
NC_029026	1640885
NC_029029	1296661
NC_029042	1654891
NC_029044	1340712
NC_029048	1582152
NC_029050	1654884
NC_029058	1567484
NC_029069	1755679
NC_029072	1654883
NC_029080	307898
NC_029083	1716042
NC_029091	1655305
NC_029094	1654919
NC_029104	1296659
NC_029116	1437363
NC_029121	1445810
AY657002	1582354
FN997652	861448
FR725450	927392
HG803182	1451074
HQ110083	947842
JF314845	1073754
JX042578	1195069
JX483881	1220717
KC348598	1289595
KC348603	1289600
KC581799	1289600
KF591601	1414766
KF751793	1470458
KF751794	1470459
KF751795	1470460
KF751796	1470461
KF751797	1470462
KJ410740	1468179
KJ417497	1461246
KJ936628	1524880
KM366099	1543205
KM983330	1567009
KM983331	1567010
KM983333	1567015
KM983334	1567016
KP063902	1567487
KP063903	1567487
KP343639	1597967
KP790011	1622193
KP836355	1629954
KP836356	1629953
KP881332	1200862
KR011061	1636544
KR053197	1647473
KR053198	1647472
KR053199	1647471
KR063280	1647285
KR063281	1647283
KR072689	1647282
KR131710	1640977
KR296693	1654892
KR296694	1654893
KR296695	1654894
KR935215	1662331
KR935217	1662333
KT253150	1698423
KT337339	1701811
KT337340	1701812
KT337341	1701813
KT337342	1701814
KT337352	1701824
KT337354	1701826
KT337355	1701827
KT337356	1701828
KT337358	1701830
KT337365	1701837
KT337370	1701842
KT588073	1718842
KT588074	1718840
KT588075	1718841
KT716399	1718594
KT724718	1718278
KT887558	1450169
KT887559	1754217
KU160494	1775142
KU160495	1775141
KU160496	1775140
KU198331	1775428
KU199708	1777053
KU199709	1777054
KU199710	1777052
KU253712	1776293
KU255730	1777059
KU310943	1777064
KU310944	1777063
KU497559	1777072
KU535860	1784982
KU595432	1784979
KU595433	1784981
KU595434	1784980
KU640380	1796992
KU665491	1796993
KU682439	1651816
LC121084	1785960
NC_001942	75590
NC_003324	179237
NC_003345	33771
NC_004313	175950
NC_004927	222645
NC_007024	322855
NC_007045	320831
NC_007189	334856
NC_007808	347327
NC_007902	373126
NC_007914	128708
NC_007918	128710
NC_008265	396359
NC_008376	365048
NC_009552	447909
NC_009737	396034
NC_010391	128975
NC_010392	129861
NC_010393	129862
NC_011344	430796
NC_012558	634168
NC_012784	648017
NC_013758	710112
NC_014321	762906
NC_014322	762905
NC_015285	444878
NC_015288	444861
NC_016652	1109713
NC_016654	1109714
NC_016656	444876
NC_016899	1115696
NC_017087	1156719
NC_017088	1156720
NC_017089	1156721
NC_017090	1156722
NC_017732	977801
NC_017983	1183239
NC_018269	1176423
NC_018271	1168478
NC_018272	1168479
NC_018280	1197951
NC_018832	1235559
NC_019511	1204543
NC_019544	749413
NC_019930	981335
NC_020158	1262528
NC_020159	1262527
NC_020489	1131316
NC_020844	754067
NC_020846	754049
NC_020850	754074
NC_020853	754044
NC_020854	889953
NC_020856	754043
NC_020857	889954
NC_020858	754045
NC_020863	754058
NC_020865	889951
NC_020866	754056
NC_020872	616674
NC_020874	382273
NC_020878	382262
NC_021067	573173
NC_021068	573171
NC_021070	573175
NC_021072	536474
NC_021073	573174
NC_021319	1273747
NC_021320	1273753
NC_021321	1273755
NC_021322	1273750
NC_021327	1273748
NC_021328	1273749
NC_021329	1273752
NC_021330	1273746
NC_021335	1273754
NC_021340	1273751
NC_021471	1262530
NC_021534	754051
NC_021537	754066
NC_021784	1352230
NC_021793	1327968
NC_021856	207656
NC_021865	1337877
NC_021867	1325731
NC_022771	1406785
NC_022791	1267169
NC_023559	1435411
NC_023560	1432848
NC_023571	1432847
NC_023575	1449437
NC_023585	1351702
NC_023590	1458669
NC_023592	1442594
NC_023718	1080237
NC_024217	1472912
NC_024711	1211417
NC_025439	1536592
NC_025455	756277
NC_025461	756276
NC_027299	1526550
NC_027334	1503929
NC_027988	1622234
NC_028268	1032473
NC_028651	1732176
NC_028819	1636200
NC_028829	1610855
NC_028954	1662332
NC_028991	1567012
NC_028992	1732180
NC_028998	1391456
NC_029004	1567013
NC_029006	1567011
NC_029011	1732178
NC_029020	1580591
NC_029022	1567014
NC_029027	1732179
NC_029032	1391455
NC_029067	573172
NC_029097	1662330
NC_029103	1732177
NC_029107	1483485
NC_001447	46014
AB626963	1010615
AB757801	1244857
AB910602	1463607
AF527608	200913
AP004402	180816
AY526908	263374
AY526909	263375
CP000711	539221
EU056923	476523
EU622808	10753
FM180578	254397
FQ482084	925985
HE956707	1206556
HE983844	1229675
HG428758	1401446
HG792102	1429230
HG793132	1432428
HG796219	1437328
HG796220	1673729
HG796221	1437329
HG803183	1451075
HG803184	1451116
HG803185	1451077
HQ424691	936054
HQ634152	382275
HQ641341	979539
HQ641343	979537
HQ641344	979536
HQ641346	979534
JF773396	1072683
JN254801	1158721
JQ267518	1147139
JQ691610	1162289
JQ780163	588068
JQ957925	1176434
JX000007	1195074
JX194238	1204542
JX403939	1191380
JX421753	1075774
JX483873	1220601
JX483874	1220602
JX483875	1220603
JX483879	1220715
JX483880	1220716
KC206276	1258572
KC262634	1273707
KC348599	1289596
KC348600	1289597
KC348601	1289598
KC348602	1289599
KC348604	1289601
KC413987	1277891
KC413988	1277892
KC438283	1283073
KC556893	1308869
KC556894	1308870
KC556895	1277895
KC556896	1308871
KC556898	1277893
KC821612	1327975
KC900378	1327940
KC911856	1327941
KC911857	1327942
KF005318	1300006
KF005319	1300007
KF005320	1300005
KF030445	1115653
KF669657	1406787
KF787094	1416008
KF800937	1434127
KJ133688	1667365
KJ133689	1667364
KJ133690	1667371
KJ133691	1667370
KJ133692	1667369
KJ133693	1667368
KJ133694	1667373
KJ133695	1667372
KJ133696	1667375
KJ133697	1667374
KJ133698	1667377
KJ133699	1667376
KJ133700	1667379
KJ133701	1667378
KJ133702	1667367
KJ133703	1667366
KJ133704	1667381
KJ133705	1667380
KJ133706	1667383
KJ133707	1667382
KJ502657	1480731
KJ617393	1498213
KJ803031	1498169
KJ909655	1506453
KM058087	1498011
KM224878	1529057
KM366096	1543199
KM366097	1543201
KM411958	1541890
KM411960	1541891
KM612260	1558463
KM612261	1558464
KM612262	1558465
KM612263	1558466
KM612265	1558468
KP682372	1660374
KP682373	1660378
KP682374	1660382
KP682375	1660361
KP682376	1660362
KP682377	1660363
KP682378	1660364
KP682379	1660366
KP682380	1660367
KP682381	1660368
KP682382	1660369
KP682383	1660370
KP682384	1660371
KP682385	1660372
KP682386	1660373
KP682387	1660375
KP682388	1660376
KP682389	1660377
KP682390	1660379
KP682391	1660380
KP682392	1660381
KP791807	1636315
KP861230	1628721
KP869108	1508672
KR091952	1629654
KR296686	1654885
KR296687	1654886
KR296688	1654887
KR296689	1654888
KT008108	1662463
KT367887	1701806
KT962245	1747284
KT962246	1747285
KT962247	1747283
KU183006	1770232
KU298437	1777071
KU666550	1796998
KU743887	1815956
LC063634	1685500
LC102729	1752027
LK392619	10748
LN610580	1548908
M11813	10757
NC_000902	97081
NC_000924	10730
NC_000935	67571
NC_001271	110457
NC_001396	10862
NC_001604	10760
NC_001825	10747
NC_002371	10754
NC_002515	35238
NC_002519	136084
NC_002649	12345
NC_002730	155148
NC_003085	49964
NC_003298	10759
NC_003390	151528
NC_003907	194802
NC_004165	10778
NC_004348	173443
NC_004466	188350
NC_004665	197783
NC_004678	204086
NC_004679	204090
NC_004775	215158
NC_004777	227720
NC_004814	230871
NC_004831	194966
NC_004913	194948
NC_004914	194949
NC_005045	204270
NC_005262	242527
NC_005344	10761
NC_005357	194699
NC_005841	221029
NC_005879	260372
NC_005884	270673
NC_005887	279280
NC_005891	260827
NC_006552	280701
NC_006882	268748
NC_007046	320832
NC_007149	329886
NC_007456	344021
NC_007637	344022
NC_007804	343516
NC_007807	347326
NC_008152	187764
NC_008367	400567
NC_008464	379329
NC_008694	369257
NC_008720	10752
NC_009014	418443
NC_009531	438482
NC_009551	440250
NC_009643	338473
NC_009817	388452
NC_009875	470865
NC_009935	386792
NC_009936	386793
NC_009990	469660
NC_010237	489779
NC_010324	490103
NC_010325	484895
NC_010326	484896
NC_010363	503388
NC_010807	529929
NC_011038	532078
NC_011040	532074
NC_011042	532075
NC_011043	532077
NC_011045	532076
NC_011048	10756
NC_011085	526118
NC_011107	496396
NC_011201	551790
NC_011534	47049
NC_011551	340054
NC_011802	329864
NC_011976	348058
NC_012418	627480
NC_012662	641832
NC_012696	490913
NC_012697	490912
NC_012743	644524
NC_013059	590739
NC_013599	670252
NC_013638	693582
NC_013647	674082
NC_013649	674081
NC_013651	644563
NC_013691	655097
NC_013692	655098
NC_014900	714583
NC_015158	979533
NC_015159	979535
NC_015208	988656
NC_015249	669008
NC_015264	942165
NC_015271	866889
NC_015585	943335
NC_015719	1041524
NC_015933	1054461
NC_015938	1054968
NC_016564	994601
NC_016565	1010614
NC_016657	444875
NC_016658	445693
NC_016659	445692
NC_016761	1125653
NC_016764	1100790
NC_016767	1131315
NC_017865	1141525
NC_017971	1114179
NC_017980	1162304
NC_017985	1127357
NC_018083	1162305
NC_018084	1162306
NC_018270	1161906
NC_018275	1168548
NC_018452	1136535
NC_018835	1237159
NC_018846	1150869
NC_018850	1235661
NC_018854	1604356
NC_018859	1604355
NC_019402	1141137
NC_019403	1141139
NC_019416	1239382
NC_019420	1244856
NC_019423	1239384
NC_019442	1124655
NC_019445	1124654
NC_019446	1133292
NC_019447	1133293
NC_019454	881915
NC_019485	942016
NC_019501	1090133
NC_019510	1051673
NC_019512	1154995
NC_019514	1051675
NC_019520	1141519
NC_019523	1128071
NC_019528	1141132
NC_019540	1161935
NC_019541	1221835
NC_019542	1217810
NC_019549	941969
NC_019550	941970
NC_019813	1234701
NC_019911	1206559
NC_019917	1195073
NC_019923	1235689
NC_019926	925983
NC_019928	1208236
NC_019931	1204178
NC_020078	1264737
NC_020205	1188795
NC_020414	979726
NC_020481	1283077
NC_020482	1283078
NC_020483	1283079
NC_020488	1168281
NC_020835	885867
NC_020838	754040
NC_020848	754073
NC_020849	754052
NC_020862	754046
NC_020867	754041
NC_020868	754072
NC_021062	1204538
NC_021300	1316739
NC_021316	1235824
NC_021336	1309583
NC_021337	1273713
NC_021532	1300004
NC_021540	1283071
NC_021772	1173761
NC_021776	1233488
NC_021782	1173762
NC_021788	1328029
NC_021789	1327971
NC_021792	1327985
NC_021794	1327983
NC_021796	1327977
NC_021798	1327972
NC_021803	1328030
NC_021806	1327990
NC_021864	948071
NC_022091	1225790
NC_022744	1407608
NC_022746	1262514
NC_022751	434346
NC_022764	1406786
NC_022770	1406789
NC_022915	1417599
NC_022916	1401297
NC_022917	1402875
NC_022971	1429758
NC_022982	1415145
NC_022987	1415146
NC_023005	1279083
NC_023548	1455076
NC_023550	1453367
NC_023556	1416009
NC_023558	1410331
NC_023567	1416011
NC_023570	1406779
NC_023576	1455075
NC_023579	1429767
NC_023581	1406780
NC_023583	1406974
NC_023589	1414738
NC_023593	1436889
NC_023605	1461743
NC_023715	928293
NC_023736	913183
NC_023863	1458716
NC_024123	1462608
NC_024140	1476391
NC_024142	1458848
NC_024149	1486423
NC_024329	1465639
NC_024358	1357732
NC_024362	1500756
NC_024367	1477404
NC_024379	1498170
NC_024786	1395983
NC_024790	1391223
NC_024791	1529058
NC_025418	1194091
NC_025431	1527771
NC_025434	1498227
NC_025445	1536597
NC_025450	1542498
NC_025451	1536611
NC_025456	1273711
NC_025457	1481187
NC_025464	754059
NC_025467	1161939
NC_025822	1151014
NC_026599	1548906
NC_026602	1548902
NC_027118	1076759
NC_027292	1562076
NC_027330	1498172
NC_027342	1357704
NC_027345	1530400
NC_027348	1563661
NC_027363	1560282
NC_027372	1540092
NC_027375	1527525
NC_027379	1560283
NC_027381	1540097
NC_027387	1527506
NC_027388	1566995
NC_027390	1560284
NC_027393	1558467
NC_027394	1540093
NC_027395	1519788
NC_027397	1558469
NC_027398	1524881
NC_027984	866553
NC_028449	1660365
NC_028653	1647475
NC_028655	1735591
NC_028660	1458706
NC_028661	1755692
NC_028662	1690684
NC_028664	1701805
NC_028665	1647474
NC_028666	1589270
NC_028668	1647284
NC_028670	1747282
NC_028673	1647286
NC_028675	691318
NC_028679	1701808
NC_028684	1701807
NC_028685	1675531
NC_028688	1701804
